company_name,industry,new_workers,ranking
"La Colombe Coffee Roaster","Food & Beverage",329,200
"Impact Networking","Business Products & Services",329,200
"Triage Medical Staffing",Health,324,201
"Health Catalyst",Health,323,202
"Sevan Multi-Site Solutions",Construction,322,203
"Material Handling Services","Business Products & Services",321,204
ShipMonk,"Logistics & Transportation",320,205
"Riva Solutions","Government Services",320,205
QFS,"Environmental Services",320,205
"JLE Industries","Logistics & Transportation",319,206
"Snap! Mobile",Education,318,207
"Saalex Solutions","Government Services",318,207
"HJR Global","Business Products & Services",317,208
"Resource Environmental Solutions","Environmental Services",317,208
"Dynamic Systems Technology","Government Services",315,209
Unosquare,Software,314,210
ZoomInfo,"Business Products & Services",312,211
InfuseMedia,"Advertising & Marketing",310,212
Enshored,"Business Products & Services",310,212
"Ruoff Home Mortgage","Financial Services",308,213
"Horizontal Integration","IT Management",307,214
Tredence,"Business Products & Services",305,215
DiscoverOrg,Software,302,216
PatientPop,Health,300,217
MyComputerCareer,Education,300,217
Innovecs,Software,300,217
"Afters Ice Cream","Food & Beverage",300,217
"Ruby Receptionists",Telecommunications,300,217
"PetWell Partners",Health,299,218
"Chrome River",Software,299,218
"Gorilla Logic",Software,299,218
"Beyond Codes","Advertising & Marketing",297,219
"Trinity Multifamily","Real Estate",296,220
Sebpo,"Business Products & Services",295,221
"W2O Group","Advertising & Marketing",294,222
"Cohen & Company","Financial Services",293,223
"VirTex Enterprises",Manufacturing,293,223
Parker's,Retail,290,224
"Windhaven Insurance",Insurance,290,224
"Digital Media Solutions","Advertising & Marketing",286,225
"Weifield Group Contracting",Construction,285,226
Golftec,"Consumer Products & Services",285,226
"OneSource Virtual","Business Products & Services",285,226
"Health Carousel",Health,284,227
OppLoans,"Financial Services",281,228
"Cience Technologies","Advertising & Marketing",280,229
"Pacifica Consulting Services","IT System Development",280,229
"Salas O'Brien",Engineering,280,229
Aventri,Software,280,229
"Jones Sign Company",Manufacturing,280,229
"Opus Agency","Advertising & Marketing",279,230
"F. H. Cann & Associates","Government Services",279,230
WMK,Retail,279,230
Devbridge,Software,278,231
Recleim,"Environmental Services",276,232
"Raymer Oil Company",Retail,275,233
"Ventech Solutions","IT Management",275,233
"New Signature","IT Management",275,233
"SkyHop Global","Logistics & Transportation",275,233
"Window Nation",Construction,275,233
"Freedom Forever",Energy,274,234
"Coldwell Banker Distinctive Properties","Real Estate",274,234
"Modernizing Medicine",Software,273,235
"Orangetheory Fitness",Health,272,236
"Aerodyne Industries","Government Services",272,236
"10X Genomics",Health,270,237
Qubole,"IT System Development",270,237
"Pinnacle Dermatology",Health,270,237
Saviynt,Software,270,237
Pharmapacks,Retail,270,237
"PURE Group of Insurance Companies",Insurance,270,237
"MedicOne Medical Response",Health,270,237
SaviLinx,"Business Products & Services",268,238
"Advanced Technology Logistics","Government Services",268,238
NexusTek,"IT Management",265,239
"Renters Warehouse","Real Estate",265,239
iCIMS,Software,265,239
"Dreamstyle Remodeling",Construction,265,239
"Meathead Movers","Logistics & Transportation",263,240
"National Coatings",Construction,262,241
Kyriba,Software,262,241
"Index Exchange","Advertising & Marketing",261,242
"Spring Dental",Health,260,243
"Traditions Health",Health,260,243
"AMC Bridge",Software,260,243
"Medical Solutions",Health,260,243
MedRisk,Health,259,244
"Young Automotive Group",Retail,258,245
GovernmentCIO,"Government Services",255,246
Exegistics,"Logistics & Transportation",254,247
"Peak Dental Services",Health,251,248
"Higher Logic",Software,251,248
"Blue Coast Savings Consultants","Business Products & Services",251,248
Conga,"IT System Development",250,249
"Prescient Company",Construction,250,249
Thycotic,Software,250,249
"Metis Solutions","Government Services",250,249
"Baldwin Risk Partners",Insurance,250,249
"Diversified Conveyors International","Business Products & Services",250,249
"NRI USA","Logistics & Transportation",250,249
WebPT,Software,250,249
StateServ-Hospicelink,Health,250,249
"DECA Dental Group",Health,250,249
"Sonwil Distribution and Logistics","Logistics & Transportation",250,249
"Sunny Days In-Home Care",Health,250,249
"Universal Windows Direct",Construction,249,250
"ShalePro Energy Services",Energy,248,251
Madwire,"Advertising & Marketing",248,251
AgileThought,Software,248,251
"TeamLogic IT","IT Management",248,251
"Transparent BPO","Business Products & Services",248,251
LLamasoft,Software,247,252
Reltio,Software,244,253
"Magnolia River Services",Engineering,244,253
"US Patriot",Retail,244,253
"Simeio Solutions",Security,244,253
"Keypath Education",Education,243,254
"AutoSource Motors","Business Products & Services",243,254
"Kidder Mathews","Real Estate",243,254
"Alkami Technology",Software,242,255
SalesLoft,Software,242,255
"Phoenix Marketing International","Advertising & Marketing",242,255
"3Pillar Global",Software,242,255
"DLP Real Estate Capital","Real Estate",241,256
"Transcend Security Solutions",Security,240,257
"Georgetown Home Care",Health,240,257
"Enterprise Solutions","Human Resources",240,257
ConnectYourCare,Health,240,257
"Blount Fine Foods","Food & Beverage",240,257
GRSi,"Government Services",239,258
Reputation.com,Software,238,259
"Hawkers Asian Street Fare","Food & Beverage",235,260
"Collision Works","Consumer Products & Services",235,260
i3,"Government Services",232,261
Bigcommerce,Software,231,262
Pendo,Software,230,263
"KPG Healthcare",Health,230,263
"Select Security",Security,230,263
"Barrett Distribution Centers","Logistics & Transportation",230,263
Pax8,Software,229,264
"Pierce Education Properties","Real Estate",229,264
"Black Tie Moving","Logistics & Transportation",228,265
"Paragon Healthcare",Health,228,265
"Pinnacle Solutions","Government Services",227,266
"TechAspect Solutions","IT System Development",225,267
"Jack Browns Joint","Food & Beverage",225,267
"Mercer Advisors","Financial Services",225,267
ipipeline,Software,225,267
"Real People Realty","Real Estate",224,268
"CrossCountry Consulting","Business Products & Services",224,268
Bounteous,"IT System Development",223,269
iKeyless,Manufacturing,222,270
"Criterion Systems","Government Services",221,271
Exabeam,Security,220,272
"Blue Raven Solar",Energy,220,272
"Keller Williams Legacy","Real Estate",220,272
"RoundTower Technologies","IT System Development",220,272
"Targeted Pet Treats",Manufacturing,220,272
"Ware Malcomb",Engineering,219,273
Neighborly,"Consumer Products & Services",218,274
"HomeWorks Energy",Energy,217,275
"Goettl Air Conditioning",Construction,217,275
Wpromote,"Advertising & Marketing",217,275
Cubby's,"Food & Beverage",217,275
Silverline,"IT System Development",217,275
"Aeroflow Healthcare",Health,217,275
"Zelis Healthcare",Health,217,275
Xtivia,"Business Products & Services",216,276
LifeHealth,Health,215,277
"Innovetive Petcare",Health,215,277
Chewse,"Food & Beverage",215,277
"Sustainable Restaurant Group","Food & Beverage",215,277
"ReedTMS Logistics","Logistics & Transportation",215,277
"Trusted Nurse Staffing",Health,215,277
"Design Pickle","Business Products & Services",214,278
"Karsun Solutions","Government Services",214,278
"Sterling Site Access Solutions","Business Products & Services",214,278
"Sunpro Solar",Energy,213,279
"Computer Enterprises","IT System Development",211,280
"Definitive Healthcare",Software,210,281
Ivalua,Software,210,281
"Swiss American CDMO",Manufacturing,210,281
"Bluetree Network",Health,210,281
Urgently,"Logistics & Transportation",208,282
"OneStream Software",Software,207,283
"Optima Tax Relief","Financial Services",207,283
"Y7 Studio","Consumer Products & Services",206,284
"EPIC Insurance Brokers & Consultants",Insurance,206,284
"Liberty POST",Health,205,285
"Jeni's Splendid Ice Creams","Food & Beverage",203,286
iTexico,"IT System Development",203,286
"Phoenix Logistics",Manufacturing,202,287
WillowTree,Software,202,287
"Rentex Audio Visual & Computer Rentals","Computer Hardware",202,287
TrendHR,"Human Resources",201,288
"City Ventures","Real Estate",200,289
G2,Software,200,289
Rozalado,"Business Products & Services",200,289
"Picore International",Security,200,289
"Spear Physical Therapy",Health,200,289
"Agilisium Consulting","IT System Development",200,289
"Vertex Global Solutions","Human Resources",200,289
Symplr,Health,200,289
